thumbnail_kind,thumbnail_id,representative_shot_id,thumbnail_path,source_frame_path,sha256,semantics_ja,intentional_reuse_label,derived_from_canonical_frame
shot,shot-b01-01,shot-b01-01,artifacts/private-previsualization-timeline/frames/shot-b01-01.jpg,artifacts/private-previsualization-timeline/frames/shot-b01-01.jpg,a8b81d1177f3ac601851ca1cab042eefcc33f3e3593227f309ff0ad23818c8f4,駅屋根、レール際、街路端、アーチ状フレームを前景に置き、その奥に駅の建築、さらに古い天文台塔と空の鐘枠を関係づける。,,true
shot,shot-b01-02,shot-b01-02,artifacts/private-previsualization-timeline/frames/shot-b01-02.jpg,artifacts/private-previsualization-timeline/frames/shot-b01-02.jpg,fd809f20daf2fb296c5d7499eb4fdd56017c62456ef1ac54d9ab106aa2ee5cde,梁と柱の接合、古い木肌、空いた取付面、金具の痕跡だけを近接で組み、鐘そのものや撤去場面を示さない。,,true
shot,shot-b01-03,shot-b01-03,artifacts/private-previsualization-timeline/frames/shot-b01-03.jpg,artifacts/private-previsualization-timeline/frames/shot-b01-03.jpg,89ab50d51d6e9d96ac2f59478c336af9210fe3d3995f7b389abfff83dd292942,空のアーチ状フレームを大きく保持し、正午を示す小さな標だけを端に添える。,,true
shot,shot-b02-01,shot-b02-01,artifacts/private-previsualization-timeline/frames/shot-b02-01.jpg,artifacts/private-previsualization-timeline/frames/shot-b02-01.jpg,1dd8dbf9967d597f1c9f30d37973d5f3eab7f05f344e7ab1a7a15383382a1768,画面の約3分の2を手元で満たし、顔と全身を切る。右奥の作業灯と部品は環境の密度だけを補う。,,true
shot,shot-b02-02,shot-b02-02,artifacts/private-previsualization-timeline/frames/shot-b02-02.jpg,artifacts/private-previsualization-timeline/frames/shot-b02-02.jpg,c1336f2a2ec2b1a9a43f6bffd20837a4983e654a44f162db3e11f70f738e5398,メモを左側約3分の2、蛾を右下約3分の1に置く俯瞰。二つの間に指一本分の暗い余白を残す。,,true
shot,shot-b02-03,shot-b02-03,artifacts/private-previsualization-timeline/frames/shot-b02-03.jpg,artifacts/private-previsualization-timeline/frames/shot-b02-03.jpg,eba535090d0956b331a99300356c6ccafb4fdae491bd7adcf52459527c7feb28,時計面を画面外まで拡大し、右下に蛾の翅、背面に真鍮の反射を薄く重ねる。表示指定は9:17、主参照の針は9:15。,shared motif / brass moth,true
shot,shot-b03-01,shot-b03-01,artifacts/private-previsualization-timeline/frames/shot-b03-01.jpg,artifacts/private-previsualization-timeline/frames/shot-b03-01.jpg,1436c941a46eefa8e531290056d67049f5b07c8cfb32e778c9eccf8b7f959f2e,顔や所属のない手、めくられる紙、机面だけで台帳を開く動作を示す。列の内容はまだ読ませない。,,true
shot,shot-b03-02,shot-b03-02,artifacts/private-previsualization-timeline/frames/shot-b03-02.jpg,artifacts/private-previsualization-timeline/frames/shot-b03-02.jpg,6d78ed29bd84ad14804c482de911ee5be62a72fe6e6d22f330b2fbc652dcbfb8,制作した架空の見開きに「名前」と「分」の二列を置き、架空の置換文字を並べる。関係は並置に留める。,,true
shot,shot-b03-03,shot-b03-03,artifacts/private-previsualization-timeline/frames/shot-b03-03.jpg,artifacts/private-previsualization-timeline/frames/shot-b03-03.jpg,a0bbc8b81261c34b4d7d99a271bfdc9fa48fb45d34fe166c376eb220315d2a57,制作した架空の名前輪郭を三つの段階に分け、完全な輪郭、薄い輪郭、欠けた輪郭へ移す。人物消失や文書証拠には接続しない。,,true
shot,shot-b04-01,shot-b04-01,artifacts/private-previsualization-timeline/frames/shot-b04-01.jpg,artifacts/private-previsualization-timeline/frames/shot-b04-01.jpg,357228d56b7276fdc71ba69fa4bf755707e18f64b58e370ae105cf2de06cea53,半透明の仕切り越しに中立的な匿名シルエットを置く。,,true
